GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,NAME_M,ALW1M001
"G28007","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28007",,,,,,,,"86000US28007",,,"ZCTA5 28007",50163,"ZCTA5 28007",16124
"G28009","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28009",,,,,,,,"86000US28009",,,"ZCTA5 28009",39000,"ZCTA5 28009",7408
"G28012","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28012",,,,,,,,"86000US28012",,,"ZCTA5 28012",71338,"ZCTA5 28012",4263
"G28016","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28016",,,,,,,,"86000US28016",,,"ZCTA5 28016",46400,"ZCTA5 28016",5693
"G28017","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28017",,,,,,,,"86000US28017",,,"ZCTA5 28017",,"ZCTA5 28017",
"G28018","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28018",,,,,,,,"86000US28018",,,"ZCTA5 28018",44231,"ZCTA5 28018",10630
"G28019","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28019",,,,,,,,"86000US28019",,,"ZCTA5 28019",,"ZCTA5 28019",
"G28020","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28020",,,,,,,,"86000US28020",,,"ZCTA5 28020",47667,"ZCTA5 28020",15085
"G28021","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28021",,,,,,,,"86000US28021",,,"ZCTA5 28021",46036,"ZCTA5 28021",3726
"G28023","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28023",,,,,,,,"86000US28023",,,"ZCTA5 28023",58546,"ZCTA5 28023",5752
"G28025","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28025",,,,,,,,"86000US28025",,,"ZCTA5 28025",55443,"ZCTA5 28025",3878
"G28027","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28027",,,,,,,,"86000US28027",,,"ZCTA5 28027",76776,"ZCTA5 28027",4172
"G28031","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28031",,,,,,,,"86000US28031",,,"ZCTA5 28031",91658,"ZCTA5 28031",6280
"G28032","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28032",,,,,,,,"86000US28032",,,"ZCTA5 28032",69444,"ZCTA5 28032",9142
"G28033","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28033",,,,,,,,"86000US28033",,,"ZCTA5 28033",47877,"ZCTA5 28033",6570
"G28034","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28034",,,,,,,,"86000US28034",,,"ZCTA5 28034",48132,"ZCTA5 28034",5066
"G28036","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28036",,,,,,,,"86000US28036",,,"ZCTA5 28036",117312,"ZCTA5 28036",10724
"G28037","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28037",,,,,,,,"86000US28037",,,"ZCTA5 28037",79689,"ZCTA5 28037",5522
"G28039","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28039",,,,,,,,"86000US28039",,,"ZCTA5 28039",23438,"ZCTA5 28039",19051
"G28040","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28040",,,,,,,,"86000US28040",,,"ZCTA5 28040",41354,"ZCTA5 28040",5235
"G28043","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28043",,,,,,,,"86000US28043",,,"ZCTA5 28043",35317,"ZCTA5 28043",3643
"G28052","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28052",,,,,,,,"86000US28052",,,"ZCTA5 28052",39426,"ZCTA5 28052",2029
"G28054","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28054",,,,,,,,"86000US28054",,,"ZCTA5 28054",45856,"ZCTA5 28054",2292
"G28056","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28056",,,,,,,,"86000US28056",,,"ZCTA5 28056",68890,"ZCTA5 28056",3720
"G28071","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28071",,,,,,,,"86000US28071",,,"ZCTA5 28071",47386,"ZCTA5 28071",17467
"G28072","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28072",,,,,,,,"86000US28072",,,"ZCTA5 28072",48571,"ZCTA5 28072",7363
"G28073","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28073",,,,,,,,"86000US28073",,,"ZCTA5 28073",42331,"ZCTA5 28073",5477
"G28075","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28075",,,,,,,,"86000US28075",,,"ZCTA5 28075",107397,"ZCTA5 28075",7686
"G28076","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28076",,,,,,,,"86000US28076",,,"ZCTA5 28076",37523,"ZCTA5 28076",25002
"G28077","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28077",,,,,,,,"86000US28077",,,"ZCTA5 28077",18950,"ZCTA5 28077",6945
